Session campaign,Session source / medium,Active users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per active user,Events per session,Engagement rate,Event count,Key events,Session key event rate,Revenue
(referral),rahmah.sa / referral,3,7,2,64.57142857,0.666666667,5.285714286,0.285714286,37,7,1,0
Facebook Paid Ad - Magazine offers - Baby joy - 24/02/2025 - 08/03/2025,Facebook Paid Ad - Magazine offers - Baby joy - 24/02/2025 - 08/03/2025 / Magazine,3,5,3,48.2,1,7.4,0.6,37,5,1,0
Facebook Paid Ad - Magazine offers - Koleston - 13/04/2025 - 23/04/2025,Paid ad / Facebook,3,11,2,10.90909091,0.666666667,3.363636364,0.181818182,37,11,1,0
Facebook Paid Ad - Weekend offers - Eveline - 01/04/2025 - 05/04/2025,Facebook Paid Ad - Weekend offers - Eveline - 01/04/2025 - 05/04/2025 / Paid Ad,3,6,3,112.6666667,1,6.166666667,0.5,37,7,1,0
Facebook paid ads - Weekend offers - Beauty care - 06/06/2024 - 08/06/2024,Facebook paid ads - Weekend offers - Beauty care - 06/06/2024 - 08/06/2024 / Paid ad,3,3,3,39.66666667,1,12.33333333,1,37,3,1,0
Instagram paid ad - Weekend offers Beauty care bigen - 16-18 Nov 2023,Instagram paid ad - Weekend offers Beauty care bigen - 16-18 Nov 2023 / Paid ad,3,3,3,52,1,12.33333333,1,37,3,1,0
Mailchimp - Magazine offers - H&W - 23 Dec - 07 Jan 2022,Mailchimp - Magazine offers - H&W - 23 Dec - 07 Jan 2022 / Email,3,4,3,139,1,9.25,0.75,37,4,1,0
SMS - breathiona syrup - 06/02/2023,SMS - breathiona syrup - 06/02/2023 / SMS,3,4,2,15.75,0.666666667,9.25,0.5,37,4,1,0
YouTube Paid Ad - Women day - Women 15% Coupon - 08/03/2023 - 21/03/2023,YouTube Paid Ad - Women day - Women 15% Coupon - 08/03/2023 - 21/03/2023 / Paid Ad,3,3,2,43.33333333,0.666666667,12.33333333,0.666666667,37,3,1,0
snapchat Paid Ad - Magazine offers - Cetaphil - 13/01/2025 - 24/01/2025,Paid Ad / snapchat,3,7,3,28.14285714,1,5.285714286,0.428571429,37,7,1,0
Instagram Paid Ad - Magazine offers - tena - 17/03/2025 - 31/03/2025,Instagram Paid Ad - Magazine offers - tena - 17/03/2025 - 31/03/2025 / Paid ad,3,3,2,138.3333333,0.666666667,12,0.666666667,36,4,1,0
Instagram Paid Ad - Weekend offers - Tena - 06/03/2025 - 08/03/2025,Instagram Paid Ad - Weekend offers - Tena - 06/03/2025 - 08/03/2025 / Paid Ad,3,5,3,103.8,1,7.2,0.6,36,6,1,0
SMS - Ronzac Joint - 09/01/2025,SMS - Ronzac Joint - 09/01/2025 / Ads,3,6,4,30.5,1.333333333,6,0.666666667,36,6,1,0
Criteo - Magazine offers - 09-13 Feb 2023,Criteo - Magazine offers - 09-13 Feb 2023 / Criteo,3,4,2,75.5,0.666666667,8.75,0.5,35,4,1,0
Facebook - Contour Next strips - 15 /02/2025,Facebook - Contour Next strips - 15 /02/2025 / Story,3,4,4,174.25,1.333333333,8.75,1,35,7,1,0
Facebook paid ad - Magazine offers - 25 Jan - 08 Feb - clear 1+1,Facebook paid ad - Magazine offers - 25 Jan - 08 Feb - clear 1+1 / paid ad,3,3,2,153.3333333,0.666666667,11.66666667,0.666666667,35,3,1,0
Instagram Paid Ad - Korean Care - 25/03/2025,Instagram Paid Ad - Korean Care - 25/03/2025 / Paid Ad,3,4,3,413.25,1,8.75,0.75,35,6,1,0
Mailchimp - Magazin PC offer -11-23 Nov 2022,Mailchimp - Magazin PC offer -11-23 Nov 2022 / mail,3,3,2,80.33333333,0.666666667,11.66666667,0.666666667,35,3,1,0
Paid Ad - rinfoltil - 02/12/2024,Paid Ad / Paid Ad,3,7,4,12.42857143,1.333333333,5,0.571428571,35,7,1,0
Slider 1 - AR - Wella Pro- 08/05/2025,Slider 1 - AR - Wella Pro- 08/05/2025 / Banner,3,7,3,44.57142857,1,5,0.428571429,35,9,1,0
Slider 2 - AR - Medical Devices offers - 29/05/2025,Slider 2 - AR - Medical Devices offers - 29/05/2025 / Banner,3,4,4,468.5,1.333333333,8.75,1,35,4,1,0
Snapchat paid ad - batiste - 18/03/2023,Snapchat paid ad - batiste - 18/03/2023 / paid ad,3,5,5,34.6,1.666666667,7,1,35,5,1,0
(referral),Instagram Paid Ad - Weekend offers - pure-paw-paw 09/02/2023 - 11/02/2023 / referral,3,3,2,149.6666667,0.666666667,11.33333333,0.666666667,34,3,1,0
Snapchat Paid Ad - Magazine offers - Always - 13/04/2025 - 23/04/2025,Paid ad / Snapchat,3,3,3,226.6666667,1,11.33333333,1,34,3,1,0
Snapchat Paid Ad - Magazine offers - Jp - 14/05/2025 - 20/05/2025,Snapchat Paid Ad - Magazine offers - Jp - 14/05/2025 - 20/05/2025 / Paid Ad,3,3,3,70.66666667,1,11.33333333,1,34,5,1,0
Social Ads - Ronzac Joint - 09/01/2025,Social Ads - Ronzac Joint - 09/01/2025 / Ads,3,3,3,133.3333333,1,11.33333333,1,34,3,1,0
Instagram Paid Ad - Weekend offers - Fine Care - 27/04/2025 - 03/05/2025,Paid Ad / Instagram,3,3,2,244,0.666666667,11,0.666666667,33,4,1,0
Instagram Paid Ad - Weekend offers - Some By Mi - 27/05/2025 - 02/06/2025,Instagram Paid Ad - Weekend offers - Some By Mi - 27/05/2025 - 02/06/2025 / Paid Ad,3,4,2,105.75,0.666666667,8.25,0.5,33,5,1,0
snapchat Paid Ad - Magazine offers - Johnson Baby - 19/02/2025 - 23/02/2025,snapchat Paid Ad - Magazine offers - Johnson Baby - 19/02/2025 - 23/02/2025 / Paid Ad,3,6,3,64.5,1,5.5,0.5,33,6,1,0
Emarsys - Weekend offers - Finecare - 06/02/2025 - 08/02/2025,Emarsys - Weekend offers - Finecare - 06/02/2025 - 08/02/2025 / mail,3,4,2,93.75,0.666666667,8,0.5,32,9,1,0
Facebook Paid Ad - Weekend offers - Beurer - 25/03/2025 - 30/03/2025,Facebook Paid Ad - Weekend offers - Beurer - 25/03/2025 - 30/03/2025 / Paid Ad,3,4,3,104.25,1,8,0.75,32,4,1,0
Instagram Paid Ad - English- Vitamins - 20-09-2024 - 20-10-2025,Instagram / Paid Ad,3,6,2,24.33333333,0.666666667,5.333333333,0.333333333,32,6,1,0
Instagram story - Bolver - 24/05/2023,Instagram story - Bolver - 24/05/2023 / video/post/story,3,6,2,53.66666667,0.666666667,5.333333333,0.333333333,32,6,1,0
Instagram story - colgate - 20/07/2023,Instagram story - colgate - 20/07/2023 / Story,3,3,1,107.3333333,0.333333333,10.66666667,0.333333333,32,3,1,0
Mailchimp - Magazine offers - 24 Aug - 06 Sept - natrodent 1+1,Mailchimp - Magazine offers - 24 Aug - 06 Sept - natrodent 1+1 / Email,3,3,1,52,0.333333333,10.66666667,0.333333333,32,3,1,0
(referral),al-dawaa-sa.webex.com / referral,3,8,2,0.25,0.666666667,3.875,0.25,31,8,1,0
Facebook Paid Ad - Magazine Offer - Beurer GS19 50% Off - 25 June-09 July,Facebook Paid Ad - Magazine Offer - Beurer GS19 50% Off - 25 June-09 July / Paid Ad,3,6,3,0.166666667,1,5.166666667,0.5,31,6,1,0
Instagram paid ads - Weekend offers - Beauty care - 22/08/2024 - 24/08/2024,Instagram paid ads - Weekend offers - Beauty care - 22/08/2024 - 24/08/2024 / Paid ad,3,5,3,17.8,1,6.2,0.6,31,5,1,0
Instagram story - Vichy - 27/03/2023,Instagram story - Vichy - 27/03/2023 / Post/video/story,3,6,2,25.16666667,0.666666667,5.166666667,0.333333333,31,6,1,0
Instagram Paid Ad - Weekend offers - HUGGIES - 17/04/2025 - 19/04/2025,Paid Ad / Instagram,3,4,4,49.75,1.333333333,7.5,1,30,7,1,0
Instagram Paid Ad - Weekend offers - Personal care - 06/03/2025 - 08/03/2025,Instagram Paid Ad - Weekend offers - Personal care - 06/03/2025 - 08/03/2025 / Paid Ad,3,3,2,283.3333333,0.666666667,10,0.666666667,30,3,1,0
Instagram Paid Ad - Weekend offers - Sensodyne - 28/04/2025 - 03/05/2025,Paid Ad / Instagram,3,3,3,36.33333333,1,10,1,30,9,1,0
SMS - 1 Riyal delivery - 15-30 December 2021,SMS - 1 Riyal delivery - 15-30 December 2021 / SMS,3,9,3,0,1,3.333333333,0.333333333,30,11,1,0
Sanofi - Snapchat Paid Ad - Enterogermina oral suspension 20 vials - 13/06/2022,Sanofi - Snapchat Paid Ad - Enterogermina oral suspension 20 vials - 13/06/2022 / Snapchat Paid Ad,3,5,2,35.6,0.666666667,6,0.4,30,5,1,0
Social - Haj - HB - 18/05/2024,Social - Haj - HB - 18/05/2024 / Social,3,4,1,86.5,0.333333333,7.5,0.25,30,4,1,0
(not set),Youtube Paid Ad - Hypertension - 12/05/2025 / Paid,3,7,3,17.57142857,1,4.142857143,0.428571429,29,7,1,0
(referral),guideorganiser.com / referral,3,7,2,45.85714286,0.666666667,4.142857143,0.285714286,29,7,1,0
Facebook Paid Ad - Magazine offers - 01-11 Dec - avalone 1+1,Facebook Paid Ad - Magazine offers - 01-11 Dec - avalone 1+1 / paid ad,3,3,3,76.33333333,1,9.666666667,1,29,3,1,0
Facebook Paid Ad - Weekend offers - ronagrow - 10/04/2025 - 12/04/2025,Paid Ad / Facebook,3,4,1,98.25,0.333333333,7.25,0.25,29,6,1,0
Instagram Story - Personal Care - Meridol - 21/03/2024 - 28/03/2024,Instagram Story - Personal Care - Meridol - 21/03/2024 - 28/03/2024 / Story,3,5,3,12.2,1,5.8,0.6,29,5,1,0
Mailchimp - Magazine offer - 21 Apr - 06 May - Diabetic monitors 40% off,Mailchimp - Magazine offer - 21 Apr - 06 May - Diabetic monitors 40% off / mail,3,10,4,0.5,1.333333333,2.9,0.4,29,11,1,0
Mailchimp - Magazine offers - 07-20 Sept - Omron 15% off,Mailchimp - Magazine offers - 07-20 Sept - Omron 15% off / mail,3,4,2,16.75,0.666666667,7.25,0.5,29,4,1,0
TikTok - BabyMilk Flyer 23&2- 20/01/2025,TikTok - BabyMilk Flyer 23&2- 20/01/2025 / Paid,3,3,1,118,0.333333333,9.666666667,0.333333333,29,3,1,0
bts camp.,insider / email,3,6,2,22,0.666666667,4.833333333,0.333333333,29,7,1,0
warm up day 23,dengage / email,3,9,5,32.88888889,1.666666667,3.222222222,0.555555556,29,9,1,0
(referral),aleithar.sa / referral,3,3,3,79.33333333,1,9.333333333,1,28,3,1,0
Facebook paid ad - Magazine offers - 21-24 January - Aptamil 1+1,Facebook paid ad - Magazine offers - 21-24 January - Aptamil 1+1 / paid ad,3,3,2,38,0.666666667,9.333333333,0.666666667,28,3,1,0
Facebook paid ads - Weekend offers - Personal care - 06/06/2024 - 08/06/2024,Facebook paid ads - Weekend offers - Personal care - 06/06/2024 - 08/06/2024 / Paid ad,3,3,3,13,1,9.333333333,1,28,3,1,0
